"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","prec_mean","prec_median","prec_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"92",15.167,23.1350747555721,23.2367267608643,3.96401952249717,13.908673286438,37.1994018554688,0.233652312599681,0,0.423322351847923,1.87960522737804,1.54954385757446,0.982010495133613,293,961,0.233652312599681,1254
"93",15.333,23.0554395205582,23.1612148284912,3.96806926658912,13.6108407974243,37.0990753173828,0.234025559105431,0,0.423557420233785,1.87962137937806,1.54941475391388,0.984945531209737,293,959,0.234025559105431,1252
"94",15.5,22.9986815939779,23.0688524246216,4.00545837280506,13.313009262085,36.9987525939941,0.232669322709163,0,0.422701645178325,1.88685313702925,1.55307632684708,0.989368187630184,292,963,0.232669322709163,1255
"95",15.667,22.9195776917647,22.9815521240234,4.0155753303194,13.0151767730713,36.8984260559082,0.23328025477707,0,0.423087574736801,1.87904355806844,1.55170786380768,0.9620779156764,293,963,0.23328025477707,1256
"96",15.833,22.7927806665157,22.8853025436401,3.99648157111319,11.3113746643066,35.2480430603027,0.232779097387173,0,0.422770038018418,1.87971125665153,1.55646294355392,0.961090230240233,294,969,0.232779097387173,1263
"97",16,22.6855715127893,22.7695808410645,4.02735632243085,10.966835975647,36.5692291259766,0.232539682539683,0,0.422618894462858,1.87412330092611,1.5568516254425,0.939422286465925,293,967,0.232539682539683,1260
"98",16.167,22.648186289634,22.7273120880127,4.05681323784308,10.6222972869873,36.435173034668,0.232171156893819,0,0.42238499134328,1.87919094499518,1.5568516254425,0.952091543292318,293,969,0.232171156893819,1262
"99",16.333,22.5617203247004,22.6600122451782,4.08554058973104,10.2777585983276,36.3011169433594,0.231503579952267,0,0.421961278140439,1.8844468143007,1.55646294355392,0.956843234052271,291,966,0.231503579952267,1257
"100",16.5,22.5073704988475,22.6146621704102,4.12252121828054,9.93321990966797,36.1670608520508,0.231503579952267,0,0.421961278140439,1.89173699828135,1.55646294355392,0.966607248132275,291,966,0.231503579952267,1257
"101",16.667,22.3953856594392,22.5406646728516,4.12230112025189,9.5886812210083,34.7020721435547,0.230708035003978,0,0.421453609290647,1.89581594168493,1.56628799438477,0.961731259777174,290,967,0.230708035003978,1257
"102",16.833,22.3414338302199,22.4898700714111,4.13880388691702,9.24414253234863,34.529541015625,0.230708035003978,0,0.421453609290647,1.89618716484295,1.56628799438477,0.961665009633382,290,967,0.230708035003978,1257
"103",17,22.2615102988423,22.4160556793213,4.15693957827514,8.89960384368896,34.3570137023926,0.230830670926518,0,0.421532676128617,1.89074478934609,1.5568516254425,0.947291926122977,289,963,0.230830670926518,1252
"104",17.167,22.1781360666001,22.3134613037109,4.13263778620362,8.5550651550293,34.1844863891602,0.175762439807384,0,0.380770752566141,1.98593238444281,1.67867767810822,0.928607941879659,219,1027,0.175762439807384,1246
"105",17.333,22.0443342275787,22.142276763916,4.17993936287635,8.19379806518555,34.0119590759277,0.13392141138733,0,0.340704496611785,2.08830165183335,1.78606802225113,0.923655698118743,167,1080,0.13392141138733,1247
"106",17.5,21.9352067532655,21.9868125915527,4.16928384678292,7.84951686859131,33.8394317626953,0.104754230459307,0,0.306359937529068,2.1759971026948,1.90005022287369,0.91402950104114,130,1111,0.104754230459307,1241
"107",17.667,21.8758671979989,21.8881750106812,4.19848269334162,7.50523567199707,33.6669006347656,0.0766747376916868,0,0.266182095285914,2.26579753131466,2.01735985279083,0.940401757366033,95,1144,0.0766747376916868,1239
"108",17.833,21.8074776535541,21.8012895584106,4.20475151212321,7.16095447540283,33.4943733215332,0.0677966101694915,0,0.251498071733026,2.35366786357048,2.13284969329834,0.982253701478735,84,1155,0.0677966101694915,1239
"109",18,21.729616683531,21.7281913757324,4.24848035884422,6.81667327880859,33.3218460083008,0.0644122383252818,0,0.245584735182576,2.44965373576016,2.24863934516907,1.04781299598041,80,1162,0.0644122383252818,1242
"110",18.167,21.6514567789042,21.6427803039551,4.26847444725088,6.47239208221436,33.1493186950684,0.063915857605178,0,0.24470199549357,2.44078403691473,2.24662709236145,1.03575890221675,79,1157,0.063915857605178,1236
